selection_row_id,combo_index,analysis_family,outcome,moderator_id,eeg_id,channel,band,screen_beta_interaction,screen_t_interaction,screen_p_raw,target_id,rows_per_unique_target,duplicate_target
SEL001,8,OC,MSPSS,W4,EEG1,Fp1,delta,-0.9962679405969602,-2.224958432435397,0.0371765040761461,TARGET__OC__MSPSS__EEG1,1,False
SEL002,8,OC,MSPSS,W4,EEG2,Fp1,theta,-0.962660357179964,-2.20140699475459,0.0390269244562187,TARGET__OC__MSPSS__EEG2,1,False
SEL003,8,OC,MSPSS,W4,EEG5,Fp2,delta,-1.0240046085812795,-2.3146648794611613,0.0308392371721898,TARGET__OC__MSPSS__EEG5,1,False
SEL004,8,OC,MSPSS,W4,EEG6,Fp2,theta,-0.9939283771006028,-2.265901993014793,0.0341492186828342,TARGET__OC__MSPSS__EEG6,1,False
SEL005,8,OC,MSPSS,W4,EEG9,F3,delta,-0.9999436804163232,-2.2223093772729423,0.0373805689785554,TARGET__OC__MSPSS__EEG9,1,False
SEL006,8,OC,MSPSS,W4,EEG10,F3,theta,-0.9867441168637656,-2.257040617668334,0.0347846023678819,TARGET__OC__MSPSS__EEG10,1,False
SEL007,8,OC,MSPSS,W4,EEG13,F4,delta,-0.9953267896968406,-2.25717471952041,0.0347749067907117,TARGET__OC__MSPSS__EEG13,1,False
SEL008,8,OC,MSPSS,W4,EEG14,F4,theta,-0.980346905721716,-2.2069730212434924,0.0385821877448493,TARGET__OC__MSPSS__EEG14,1,False
SEL009,8,OC,MSPSS,W4,EEG17,C3,delta,-0.9939067426242054,-2.198588694123844,0.0392538879333421,TARGET__OC__MSPSS__EEG17,1,False
SEL010,8,OC,MSPSS,W4,EEG18,C3,theta,-0.9879443477029805,-2.242821703228038,0.0358267801609538,TARGET__OC__MSPSS__EEG18,1,False
SEL011,8,OC,MSPSS,W4,EEG21,C4,delta,-0.9992931206895518,-2.196695911130336,0.039406991302854,TARGET__OC__MSPSS__EEG21,1,False
SEL012,8,OC,MSPSS,W4,EEG22,C4,theta,-1.0081665996193847,-2.2340691457355883,0.0364824153601659,TARGET__OC__MSPSS__EEG22,1,False
SEL013,8,OC,MSPSS,W4,EEG25,P3,delta,-0.9549638852515656,-2.102700566482243,0.0477275509808295,TARGET__OC__MSPSS__EEG25,1,False
SEL014,8,OC,MSPSS,W4,EEG26,P3,theta,-0.963294806563478,-2.185584353583617,0.0403167916358546,TARGET__OC__MSPSS__EEG26,1,False
SEL015,8,OC,MSPSS,W4,EEG29,P4,delta,-0.9480809608065894,-2.085716881141296,0.0493899977715523,TARGET__OC__MSPSS__EEG29,1,False
SEL016,8,OC,MSPSS,W4,EEG30,P4,theta,-1.0036595776151371,-2.2304635770975185,0.0367556740163894,TARGET__OC__MSPSS__EEG30,1,False
SEL017,8,OC,MSPSS,W4,EEG33,O1,delta,-0.9656725750077096,-2.1325506871929285,0.0449274863516735,TARGET__OC__MSPSS__EEG33,1,False
SEL018,8,OC,MSPSS,W4,EEG34,O1,theta,-0.987531306133365,-2.1770353479091007,0.0410297253297894,TARGET__OC__MSPSS__EEG34,1,False
SEL019,8,OC,MSPSS,W4,EEG37,O2,delta,-0.9595327896424554,-2.099225487216287,0.0480635496317917,TARGET__OC__MSPSS__EEG37,1,False
SEL020,8,OC,MSPSS,W4,EEG38,O2,theta,-1.00128766583026,-2.21182328968043,0.0381984113175513,TARGET__OC__MSPSS__EEG38,1,False
SEL021,8,OC,MSPSS,W4,EEG42,F7,theta,-0.9861216086057764,-2.1857790730316404,0.0403006852011864,TARGET__OC__MSPSS__EEG42,1,False
SEL022,8,OC,MSPSS,W4,EEG45,F8,delta,-0.9601671353133744,-2.1503064086316463,0.0433332040268564,TARGET__OC__MSPSS__EEG45,1,False
SEL023,8,OC,MSPSS,W4,EEG46,F8,theta,-1.0021917960873212,-2.223343104016359,0.037300816525277,TARGET__OC__MSPSS__EEG46,1,False
SEL024,8,OC,MSPSS,W4,EEG49,T7,delta,-0.9399659686560926,-2.1193183244498703,0.0461499003885318,TARGET__OC__MSPSS__EEG49,1,False
SEL025,8,OC,MSPSS,W4,EEG50,T7,theta,-0.9804583188473688,-2.1937346704872933,0.0396476104470412,TARGET__OC__MSPSS__EEG50,1,False
SEL026,8,OC,MSPSS,W4,EEG53,T8,delta,-0.9712556169386908,-2.227731179019641,0.036964000241609,TARGET__OC__MSPSS__EEG53,1,False
SEL027,8,OC,MSPSS,W4,EEG54,T8,theta,-1.0034072249974546,-2.2623966013845065,0.0343992826654217,TARGET__OC__MSPSS__EEG54,1,False
SEL028,8,OC,MSPSS,W4,EEG57,P7,delta,-0.9756462018685196,-2.25718587309847,0.0347741004973601,TARGET__OC__MSPSS__EEG57,1,False
SEL029,8,OC,MSPSS,W4,EEG58,P7,theta,-0.9947946681262057,-2.26030190754421,0.0345495111494006,TARGET__OC__MSPSS__EEG58,1,False
SEL030,8,OC,MSPSS,W4,EEG61,P8,delta,-0.9923966346745814,-2.3226983415225413,0.030323128888185,TARGET__OC__MSPSS__EEG61,1,False
SEL031,8,OC,MSPSS,W4,EEG62,P8,theta,-1.008568915128465,-2.325622696683309,0.0301372372361038,TARGET__OC__MSPSS__EEG62,1,False
SEL032,18,OA,MSPSS,W4,EEG61,P8,delta,-0.6863348845213904,-2.0823131403669657,0.0497293732930648,TARGET__OA__MSPSS__EEG61,1,False
SEL033,18,OA,MSPSS,W4,EEG62,P8,theta,-0.7434443919959106,-2.0871051313318354,0.0492521790867695,TARGET__OA__MSPSS__EEG62,1,False
SEL034,21,DELTA_OC_MINUS_OA,BAI,W2,EEG3,Fp1,alpha,-22.169760069339304,-2.121010435631862,0.0459919248789556,TARGET__DELTA_OC_MINUS_OA__BAI__EEG3,1,False
SEL035,23,DELTA_OC_MINUS_OA,BAI,W4,EEG4,Fp1,beta,7.724355522149612,2.176149662253713,0.0411042368767338,TARGET__DELTA_OC_MINUS_OA__BAI__EEG4,1,False
SEL036,23,DELTA_OC_MINUS_OA,BAI,W4,EEG8,Fp2,beta,5.217934856727529,2.2632414053397625,0.0343388639933497,TARGET__DELTA_OC_MINUS_OA__BAI__EEG8,1,False
SEL037,23,DELTA_OC_MINUS_OA,BAI,W4,EEG12,F3,beta,12.060084758994286,2.101339518429375,0.047858895131188,TARGET__DELTA_OC_MINUS_OA__BAI__EEG12,1,False
