target_id,representation,local_outcome,lemon_outcome,eeg_id,channel,band,local_rows,local_moderators,local_moderator_names,local_beta_interactions,local_p_min
TARGET__OC__MSPSS__EEG62,OC,MSPSS,MSPSS_total,EEG62,P8,theta,1,W4,LIVING_ALONE,-1.008568915,0.0301372372361042
TARGET__OC__MSPSS__EEG61,OC,MSPSS,MSPSS_total,EEG61,P8,delta,1,W4,LIVING_ALONE,-0.9923966347,0.0303231288881845
TARGET__OC__MSPSS__EEG5,OC,MSPSS,MSPSS_total,EEG5,Fp2,delta,1,W4,LIVING_ALONE,-1.024004609,0.0308392371721907
TARGET__OC__MSPSS__EEG6,OC,MSPSS,MSPSS_total,EEG6,Fp2,theta,1,W4,LIVING_ALONE,-0.9939283771,0.0341492186828345
TARGET__OC__MSPSS__EEG54,OC,MSPSS,MSPSS_total,EEG54,T8,theta,1,W4,LIVING_ALONE,-1.003407225,0.0343992826654235
TARGET__OC__MSPSS__EEG58,OC,MSPSS,MSPSS_total,EEG58,P7,theta,1,W4,LIVING_ALONE,-0.9947946681,0.0345495111494009
TARGET__OC__MSPSS__EEG57,OC,MSPSS,MSPSS_total,EEG57,P7,delta,1,W4,LIVING_ALONE,-0.9756462019,0.0347741004973604
TARGET__OC__MSPSS__EEG13,OC,MSPSS,MSPSS_total,EEG13,F4,delta,1,W4,LIVING_ALONE,-0.9953267897,0.0347749067907123
TARGET__OC__MSPSS__EEG10,OC,MSPSS,MSPSS_total,EEG10,F3,theta,1,W4,LIVING_ALONE,-0.9867441169,0.0347846023678833
TARGET__OC__MSPSS__EEG18,OC,MSPSS,MSPSS_total,EEG18,C3,theta,1,W4,LIVING_ALONE,-0.9879443477,0.0358267801609531
TARGET__OC__MSPSS__EEG22,OC,MSPSS,MSPSS_total,EEG22,C4,theta,1,W4,LIVING_ALONE,-1.0081666,0.0364824153601674
TARGET__OC__MSPSS__EEG30,OC,MSPSS,MSPSS_total,EEG30,P4,theta,1,W4,LIVING_ALONE,-1.003659578,0.0367556740163888
TARGET__OC__MSPSS__EEG53,OC,MSPSS,MSPSS_total,EEG53,T8,delta,1,W4,LIVING_ALONE,-0.9712556169,0.0369640002416077
TARGET__OC__MSPSS__EEG1,OC,MSPSS,MSPSS_total,EEG1,Fp1,delta,1,W4,LIVING_ALONE,-0.9962679406,0.0371765040761449
TARGET__OC__MSPSS__EEG46,OC,MSPSS,MSPSS_total,EEG46,F8,theta,1,W4,LIVING_ALONE,-1.002191796,0.037300816525276
TARGET__OC__MSPSS__EEG9,OC,MSPSS,MSPSS_total,EEG9,F3,delta,1,W4,LIVING_ALONE,-0.9999436804,0.0373805689785554
TARGET__OC__MSPSS__EEG38,OC,MSPSS,MSPSS_total,EEG38,O2,theta,1,W4,LIVING_ALONE,-1.001287666,0.0381984113175509
TARGET__OC__MSPSS__EEG14,OC,MSPSS,MSPSS_total,EEG14,F4,theta,1,W4,LIVING_ALONE,-0.9803469057,0.0385821877448471
TARGET__OC__MSPSS__EEG2,OC,MSPSS,MSPSS_total,EEG2,Fp1,theta,1,W4,LIVING_ALONE,-0.9626603572,0.0390269244562189
TARGET__OC__MSPSS__EEG17,OC,MSPSS,MSPSS_total,EEG17,C3,delta,1,W4,LIVING_ALONE,-0.9939067426,0.0392538879333417
TARGET__OC__MSPSS__EEG21,OC,MSPSS,MSPSS_total,EEG21,C4,delta,1,W4,LIVING_ALONE,-0.9992931207,0.0394069913028541
TARGET__OC__MSPSS__EEG50,OC,MSPSS,MSPSS_total,EEG50,T7,theta,1,W4,LIVING_ALONE,-0.9804583188,0.039647610447041
TARGET__OC__MSPSS__EEG42,OC,MSPSS,MSPSS_total,EEG42,F7,theta,1,W4,LIVING_ALONE,-0.9861216086,0.0403006852011876
TARGET__OC__MSPSS__EEG26,OC,MSPSS,MSPSS_total,EEG26,P3,theta,1,W4,LIVING_ALONE,-0.9632948066,0.0403167916358557
TARGET__OC__MSPSS__EEG34,OC,MSPSS,MSPSS_total,EEG34,O1,theta,1,W4,LIVING_ALONE,-0.9875313061,0.0410297253297877
TARGET__OC__MSPSS__EEG45,OC,MSPSS,MSPSS_total,EEG45,F8,delta,1,W4,LIVING_ALONE,-0.9601671353,0.0433332040268562
TARGET__OC__MSPSS__EEG33,OC,MSPSS,MSPSS_total,EEG33,O1,delta,1,W4,LIVING_ALONE,-0.965672575,0.044927486351673
TARGET__OC__MSPSS__EEG49,OC,MSPSS,MSPSS_total,EEG49,T7,delta,1,W4,LIVING_ALONE,-0.9399659687,0.04614990038853
TARGET__OC__MSPSS__EEG25,OC,MSPSS,MSPSS_total,EEG25,P3,delta,1,W4,LIVING_ALONE,-0.9549638853,0.0477275509808306
TARGET__OC__MSPSS__EEG37,OC,MSPSS,MSPSS_total,EEG37,O2,delta,1,W4,LIVING_ALONE,-0.9595327896,0.0480635496317914
TARGET__OC__MSPSS__EEG29,OC,MSPSS,MSPSS_total,EEG29,P4,delta,1,W4,LIVING_ALONE,-0.9480809608,0.0493899977715527
TARGET__OA__MSPSS__EEG62,OA,MSPSS,MSPSS_total,EEG62,P8,theta,1,W4,LIVING_ALONE,-0.743444392,0.0492521790867692
TARGET__OA__MSPSS__EEG61,OA,MSPSS,MSPSS_total,EEG61,P8,delta,1,W4,LIVING_ALONE,-0.6863348845,0.0497293732930649
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG43,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG43,F7,alpha,1,W3,SLEEP_NOT_RECOMMENDED,9.832243735,0.0076950147436451
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG23,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG23,C4,alpha,2,W3 | W4,SLEEP_NOT_RECOMMENDED | LIVING_ALONE,10.33595421 | -13.0609596,0.0084238953858853
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG45,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG45,F8,delta,1,W2,BMI_OVERWEIGHT_OR_OBESE,-20.24776065,0.0094547706672181
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG55,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG55,T8,alpha,1,W3,SLEEP_NOT_RECOMMENDED,9.425575669,0.015348005968504
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG51,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG51,T7,alpha,1,W2,BMI_OVERWEIGHT_OR_OBESE,-27.34884732,0.0328030420497389
TARGET__DELTA_OC_MINUS_OA__BAI__EEG8,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,EEG8,Fp2,beta,1,W4,LIVING_ALONE,5.217934857,0.0343388639933498
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG11,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG11,F3,alpha,1,W3,SLEEP_NOT_RECOMMENDED,8.940291797,0.0345540481569964
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG7,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG7,Fp2,alpha,1,W2,BMI_OVERWEIGHT_OR_OBESE,-25.49482183,0.0346170182546974
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG59,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG59,P7,alpha,1,W3,SLEEP_NOT_RECOMMENDED,8.844799058,0.0405515036123669
