network_id,representation,local_outcome,lemon_outcome,local_moderator_id,local_moderator,eeg_id,channel,band,local_beta_interaction,local_p_raw,weight_sign_equal
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG17,C3,delta,-0.9939067426242087,0.0392538879333417,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG18,C3,theta,-0.987944347702984,0.0358267801609531,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG21,C4,delta,-0.999293120689553,0.0394069913028541,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG22,C4,theta,-1.0081665996193754,0.0364824153601674,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG9,F3,delta,-0.9999436804163214,0.0373805689785554,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG10,F3,theta,-0.986744116863756,0.0347846023678833,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG13,F4,delta,-0.9953267896968372,0.0347749067907123,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG14,F4,theta,-0.9803469057217284,0.0385821877448471,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG42,F7,theta,-0.9861216086057712,0.0403006852011876,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG45,F8,delta,-0.9601671353133764,0.0433332040268562,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG46,F8,theta,-1.002191796087325,0.037300816525276,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG1,Fp1,delta,-0.996267940596966,0.0371765040761449,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG2,Fp1,theta,-0.9626603571799623,0.0390269244562189,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG5,Fp2,delta,-1.024004608581274,0.0308392371721907,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG6,Fp2,theta,-0.993928377100602,0.0341492186828345,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG33,O1,delta,-0.9656725750077124,0.044927486351673,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG34,O1,theta,-0.987531306133375,0.0410297253297877,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG37,O2,delta,-0.959532789642456,0.0480635496317914,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG38,O2,theta,-1.0012876658302614,0.0381984113175509,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG25,P3,delta,-0.9549638852515598,0.0477275509808306,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG26,P3,theta,-0.9632948065634724,0.0403167916358557,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG29,P4,delta,-0.9480809608065874,0.0493899977715527,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG30,P4,theta,-1.0036595776151402,0.0367556740163888,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG57,P7,delta,-0.9756462018685184,0.0347741004973604,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG58,P7,theta,-0.9947946681262032,0.0345495111494009,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG61,P8,delta,-0.992396634674584,0.0303231288881845,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG62,P8,theta,-1.0085689151284625,0.0301372372361042,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG49,T7,delta,-0.9399659686560996,0.04614990038853,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG50,T7,theta,-0.9804583188473696,0.039647610447041,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG53,T8,delta,-0.9712556169386994,0.0369640002416077,-0.032258064516129
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG54,T8,theta,-1.0034072249974435,0.0343992826654235,-0.032258064516129
NET02__OA__MSPSS__W4,OA,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG61,P8,delta,-0.6863348845213902,0.0497293732930649,-0.5
NET02__OA__MSPSS__W4,OA,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG62,P8,theta,-0.7434443919959112,0.0492521790867692,-0.5
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG19,C3,alpha,9.363767208370758,0.0494633433241626,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG23,C4,alpha,10.33595420981593,0.0084238953858853,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG11,F3,alpha,8.940291797429671,0.0345540481569964,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG43,F7,alpha,9.832243735495322,0.0076950147436451,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG39,O2,alpha,8.828432946756513,0.0454113384125685,0.125
