outcome,representation,eeg_id,channel,band,n,r_pearson,p_raw_parametric,permutation_exceedances,p_permutation,p_maxT_block64,p_maxT_outcome192,p_maxT_global576,q_BH_raw_block64,q_BH_raw_outcome192,q_BH_raw_global576,q_BH_permutation_block64,q_BH_permutation_outcome192,q_BH_permutation_global576,q_BY_permutation_global576
BAI,OC,EEG1,Fp1,delta,25,-0.0619073737127522,0.7687795359906069,7744,0.7744225577442255,0.973002699730027,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG2,Fp1,theta,25,-0.0294962000920306,0.8886911382283886,8893,0.8893110688931107,0.9996000399960004,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG3,Fp1,alpha,25,-0.0044993612992611,0.9829703795575492,9837,0.9837016298370164,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG4,Fp1,beta,25,-0.0017641528869818,0.9933224621210606,9938,0.9938006199380062,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG5,Fp2,delta,25,-0.0741442800001827,0.724667863139442,7289,0.7289271072892711,0.9412058794120588,0.9995000499950004,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG6,Fp2,theta,25,-0.04401646856838,0.8345139604547851,8354,0.8354164583541646,0.9956004399560044,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG7,Fp2,alpha,25,-0.0651083199338163,0.7571669090406085,7660,0.766023397660234,0.9655034496550344,0.999900009999,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG8,Fp2,beta,25,-0.0287255741994537,0.8915822320531173,8948,0.8948105189481051,0.9997000299970004,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG9,F3,delta,25,-0.0628355486830314,0.7654071276228893,7697,0.7697230276972302,0.9706029397060294,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG10,F3,theta,25,-0.0347371948011936,0.8690673762689689,8692,0.8692130786921308,0.9988001199880012,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
