analysis_family,analysis_label,scheme,model_id,outcome,predictor_id,zone,band,n_source_features,source_channels,source_eeg_ids,moderator_id,n,n_w0,n_w1,x_mean_db,x_sd_db,beta_interaction,se_interaction,t_interaction,df_resid,p_raw,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_w0,se_slope_w0,ci95_low_slope_w0,ci95_high_slope_w0,p_slope_w0,slope_w1,se_slope_w1,ci95_low_slope_w1,ci95_high_slope_w1,p_slope_w1,design_rank,condition_number,status,p_FDR_block,hit_FDR_block_0_10,p_FDR_scheme_global,hit_FDR_scheme_global_0_10,p_FDR_aggregation_global_750,hit_FDR_aggregation_global_0_10,p_BY_aggregation_global_750,p_FDR_full_search_2670,hit_FDR_full_search_0_10,p_BY_full_search_2670
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE_BAND,MSPSS_ZB_CENTRAL_ALPHA_W3,MSPSS,ZB_CENTRAL_ALPHA,central,alpha,2,C3 | C4,EEG19 | EEG23,W3,25,6,19,0.5205211077237656,2.131580235005688,10.407737453389217,4.043610624293903,2.5738723186797,21.0,0.0176986538517414,0.8024787611928195,0.2469258589137734,0.0093553988164765,0.2375704600972968,0.3154675577555055,-0.5462619120449934,1.0090768871825913,-2.644752177024621,1.552228352934634,0.5939648339222499,9.86147554134422,3.915680109081488,1.7183729749735672,18.004578107714877,0.019964947005798,4,6.737136396330646,ok,0.7955436841346429,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE_BAND,BAI_ZB_FRONTAL_BETA_W4,BAI,ZB_FRONTAL_BETA,frontal,beta,6,Fp1 | Fp2 | F3 | F4 | F7 | F8,EEG4 | EEG8 | EEG12 | EEG16 | EEG44 | EEG48,W4,25,17,8,1.0647398055169004,5.192934095347053,12.723009747632084,5.331571993176937,2.3863524236218354,21.0,0.0265066585208922,0.0539826982695158,0.2895351588699917,0.0968747578123433,0.1926604010576483,0.2711751376059907,-12.953822665405175,5.3133452637496905,-24.003529037717275,-1.9041162930930755,0.0237433173444301,-0.2308129177730897,0.4404793146305513,-1.146839798794944,0.6852139632487643,0.6057627542681661,4,39.48367807110754,ok,0.7955436841346429,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE_BAND,MSPSS_ZB_CENTRAL_ALPHA_W4,MSPSS,ZB_CENTRAL_ALPHA,central,alpha,2,C3 | C4,EEG19 | EEG23,W4,25,17,8,0.5205211077237656,2.131580235005688,-12.767816942680966,5.493113861757547,-2.324331383619972,21.0,0.030219191975412,0.2172665668296369,0.2693749498128658,0.0814123878167802,0.1879625619960855,0.2572626848038442,13.111038717281978,5.403027239793549,1.8748284659665335,24.347248968597423,0.024327820321898,0.3432217746010124,0.9907555421403296,-1.717167167574695,2.40361071677672,0.732470872072223,4,13.334373228796656,ok,0.7955436841346429,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE_BAND,MSPSS_ZB_TEMPORAL_ALPHA_W3,MSPSS,ZB_TEMPORAL_ALPHA,temporal,alpha,2,T7 | T8,EEG51 | EEG55,W3,25,6,19,0.524582497904985,2.1175379213095704,8.62596937049575,3.808649114612512,2.2648369831184483,21.0,0.0342250165737987,0.8612086923363399,0.2037664357415726,0.0092774182860972,0.1944890174554753,0.244261264766718,-0.5692133829454616,1.0543815513514396,-2.761919854761364,1.623493088870441,0.5949759207271019,8.056755987550288,3.659793385207477,0.4457989948300369,15.667712980270538,0.0390255806935192,4,6.680904783042956,ok,0.7955436841346429,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_PARIETAL_THETA_W4,MSPSS,ZB_PARIETAL_THETA,parietal,theta,4,P3 | P4 | P7 | P8,EEG26 | EEG30 | EEG58 | EEG62,W4,25,17,8,17.344982129937286,11.374232926109208,-0.9933469814551809,0.4412165107202649,-2.251382161183382,21.0,0.0351959711422259,0.0405552918464419,0.2522237063038611,0.0717346644697063,0.1804890418341548,0.2413676969378452,0.2952429263127583,0.1959354629659862,-0.112227175144434,0.7027130277699507,0.1467484109520535,-0.6981040551424225,0.3953243019148588,-1.520225946561868,0.124017836277023,0.0919483459381974,4,26.84653431956962,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_CENTRAL_THETA_W4,MSPSS,ZB_CENTRAL_THETA,central,theta,2,C3 | C4,EEG18 | EEG22,W4,25,17,8,17.149842108868302,11.366654659893218,-0.99825674255156,0.4458483609061693,-2.239005074556386,21.0,0.0361113401230306,0.0429977770873864,0.2512441249697722,0.0725002766062954,0.1787438483634768,0.2387211297090133,0.2945064059587635,0.1954664271455208,-0.1119882821125158,0.701001094030043,0.1467872179501734,-0.7037503365927965,0.4007164044329639,-1.5370857190610845,0.1295850458754913,0.0936242074466442,4,26.77794429916722,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_TEMPORAL_THETA_W4,MSPSS,ZB_TEMPORAL_THETA,temporal,theta,2,T7 | T8,EEG50 | EEG54,W4,25,17,8,17.275949836954464,11.393341431240168,-0.9922441550980908,0.4452848634665832,-2.2283356936352603,21.0,0.0369178175936468,0.0485354710983135,0.2499024595432305,0.072540825837021,0.1773616337062095,0.2364514268347096,0.2935824648934056,0.1953394214034807,-0.1126481002783672,0.6998130300651786,0.1477458017780236,-0.6986616902046852,0.4001513714561114,-1.530822022271583,0.1334986418622125,0.095426544329023,4,26.88083098033425,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_FRONTAL_THETA_W4,MSPSS,ZB_FRONTAL_THETA,frontal,theta,6,Fp1 | Fp2 | F3 | F4 | F7 | F8,EEG2 | EEG6 | EEG10 | EEG14 | EEG42 | EEG46,W4,25,17,8,17.247263672443356,11.36328711756634,-0.9866660584734376,0.4433449648832281,-2.225504148295253,21.0,0.0371345923882294,0.0532327863957844,0.2497604962612334,0.0728158407310359,0.1769446555301974,0.2358508911466352,0.2977033859937009,0.1963942579713178,-0.1107208319084711,0.7061276038958728,0.1444672709427579,-0.6889626724797366,0.3974720786712021,-1.515551110177058,0.1376257652175846,0.0976916113907698,4,26.837921244292197,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_FRONTAL_DELTA_W4,MSPSS,ZB_FRONTAL_DELTA,frontal,delta,6,Fp1 | Fp2 | F3 | F4 | F7 | F8,EEG1 | EEG5 | EEG9 | EEG13 | EEG41 | EEG45,W4,25,17,8,21.776643637751437,12.622114375615476,-0.9886009523357028,0.4473943736134177,-2.2096857060386905,21.0,0.0383671163844182,0.0426459700799229,0.2577877297987624,0.0852159223569781,0.1725718074417842,0.232510043784367,0.2782173155703658,0.1715159977742631,-0.0784697279932736,0.6349043591340052,0.1196988267838177,-0.7103836367653369,0.4132117956308137,-1.5697046077639616,0.1489373342332878,0.1002899539572121,4,30.154638793151445,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_CENTRAL_DELTA_W4,MSPSS,ZB_CENTRAL_DELTA,central,delta,2,C3 | C4,EEG17 | EEG21,W4,25,17,8,21.65626321179784,12.53783633299731,-0.9967510926806366,0.4534982975424804,-2.197915842423352,21.0,0.039308251409083,0.0557680974880863,0.2570471264695084,0.0861384579325794,0.170908668536929,0.2300397166845532,0.2804347647159704,0.1724844197093661,-0.0782662225114472,0.6391357519433881,0.1188944358345692,-0.716316327964666,0.4194160593389952,-1.5885397716671663,0.1559071157378344,0.1023991745450285,4,29.94512837830703,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
