combo_index,analysis_family,analysis_label,outcome,moderator_id,observed_n_selected_features,observed_selected_eeg_ids,observed_beta_interaction,observed_t_interaction,observed_p_naive,observed_p_hc3_naive,selective_exceedances,p_selective_pipeline,p_selective_mc95_low,p_selective_mc95_high,maxT_family_exceedances,p_maxT_family,maxT_global_exceedances,p_maxT_global,network_size_exceedances,p_network_size,null_mean_selected_features,null_median_selected_features,null_q95_selected_features,p_FDR_selective_within_family_10,p_BY_selective_within_family_10,p_FDR_selective_global_30,p_BY_selective_global_30,hit_FDR_selective_global_0_10,hit_maxT_global_0_05
0,OC,Ojos cerrados,BAI,W1,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,0.5281,0.0,0.0,1.0,1.0,1.0,1.0,False,False
1,OC,Ojos cerrados,BAI,W2,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,2.8257,0.0,20.0,1.0,1.0,1.0,1.0,False,False
2,OC,Ojos cerrados,BAI,W3,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,4.5999,0.0,43.0,1.0,1.0,1.0,1.0,False,False
3,OC,Ojos cerrados,BAI,W4,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,0.98,0.0,0.0,1.0,1.0,1.0,1.0,False,False
4,OC,Ojos cerrados,BAI,W5,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,2.5316,0.0,17.0,1.0,1.0,1.0,1.0,False,False
5,OC,Ojos cerrados,MSPSS,W1,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,0.6425,0.0,0.0,1.0,1.0,1.0,1.0,False,False
6,OC,Ojos cerrados,MSPSS,W2,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,4.3724,0.0,43.0,1.0,1.0,1.0,1.0,False,False
7,OC,Ojos cerrados,MSPSS,W3,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,3.3787,0.0,31.0,1.0,1.0,1.0,1.0,False,False
8,OC,Ojos cerrados,MSPSS,W4,31,EEG1 | EEG2 | EEG5 | EEG6 | EEG9 | EEG10 | EEG13 | EEG14 | EEG17 | EEG18 | EEG21 | EEG22 | EEG25 | EEG26 | EEG29 | EEG30 | EEG33 | EEG34 | EEG37 | EEG38 | EEG42 | EEG45 | EEG46 | EEG49 | EEG50 | EEG53 | EEG54 | EEG57 | EEG58 | EEG61 | EEG62,-0.9999065008004532,-2.2353477582467565,0.0363859584781709,0.0361758699694446,1269,0.126987301269873,0.1205210616776561,0.1336715965419374,4073,0.4073592640735926,9880,0.988001199880012,1003,0.1003899610038996,6.4264,0.0,57.0,1.0,1.0,0.870341537274844,1.0,False,False
9,OC,Ojos cerrados,MSPSS,W5,0,,0.0,0.0,1.0,1.0,10000,1.0,0.999631216956884,1.0,10000,1.0,10000,1.0,10000,1.0,2.0809,0.0,10.0,1.0,1.0,1.0,1.0,False,False
