model_kind,network_id,representation,local_outcome,lemon_outcome,external_moderator,external_moderator_label,external_moderator_type,external_W_positive_definition,local_analogue,W_equivalence,external_W_n_available,external_W_missing,external_W_n0,external_W_n1,n,df_resid,beta_interaction_std,se_interaction,t_interaction,p_raw,se_hc3,t_hc3,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_W_low_std,slope_W_high_std,condition_number,local_moderator_id,local_moderator,n_components,local_min_p,permutation_exceedances,p_permutation,p_maxT_global,q_BH_raw_global,q_BH_HC3_global,q_BH_permutation_global,q_BY_permutation_global,q_BH_permutation_within_W,q_BH_permutation_within_network_id,p_maxT_within_W,naive_p_lt_0_05,hc3_p_lt_0_05,permutation_p_lt_0_05,robust_nominal,triangulated_nominal
network,NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,0.191094815303943,0.1856018998514397,1.0295951466924635,0.3050973238639713,0.1848099064133905,1.0340074242367403,0.303037771337931,0.0403638564989801,0.0325983770525289,0.0077654794464511,0.0080921081381121,-0.227249238765287,-0.0361544234613439,2.314058140427492,W4,LIVING_ALONE,31,0.0301372372361042,2957,0.2957704229577042,1.0,0.8135928636372568,0.8833870120196813,0.7953871279538713,1.0,0.738026197380262,0.8105189481051894,0.8503149685031497,False,False,False,False,False
network,NET02__OA__MSPSS__W4,OA,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,0.1245673164190742,0.1983779638220509,0.6279292015055346,0.531143442729847,0.2303888386930664,0.540682947688399,0.5896442782996508,0.0505657662144954,0.047708077289593,0.0028576889249024,0.0030098861229266,-0.2391577390086624,-0.1145904225895882,2.4614956753387216,W4,LIVING_ALONE,2,0.0492521790867692,5297,0.5297470252974702,1.0,0.8763899999540867,0.940359808125346,0.8722036887220369,1.0,0.738026197380262,0.7610148076101481,0.983901609839016,False,False,False,False,False
network,NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,0.0831958525217641,0.1739932457060953,0.4781556443995324,0.6333364084823211,0.2035794332200034,0.40866531164696,0.6834525701487835,0.0607393797295499,0.059100098778542,0.0016392809510078,0.0017452887043596,-0.2641785500876678,-0.1809826975659035,2.178824665271589,W3,SLEEP_NOT_RECOMMENDED,8,0.0076950147436451,6220,0.6220377962203779,1.0,0.8763899999540867,0.940359808125346,0.874480453189249,1.0,0.738026197380262,0.8491150884911509,0.9963003699630038,False,False,False,False,False
network,NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.057205693901703,0.1766779218328585,-0.3237851866733016,0.7466170231114855,0.1953985822638809,-0.2927641195699578,0.77016567045773,0.0297176895015921,0.0289411907364138,0.0007764987651782,0.0008002812756417,0.1775885353324438,0.1203828414307407,2.23212593223828,W2,BMI_OVERWEIGHT_OR_OBESE,3,0.0094547706672181,7380,0.738026197380262,1.0,0.9051527284691472,0.940359808125346,0.9083399352372457,1.0,0.738026197380262,0.738026197380262,0.9993000699930008,False,False,False,False,False
network,NET05__DELTA_OC_MINUS_OA__MSPSS__W4,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.1106050469647506,0.1770637652316625,-0.6246622329534209,0.5332792346360027,0.2001044746196779,-0.5527365001455791,0.5813857993289732,0.0423033681800312,0.0394507268967377,0.0028526412832934,0.0029786481318957,0.2271880098449554,0.1165829628802048,2.2157042162287284,W4,LIVING_ALONE,1,0.013432102562434,5239,0.523947605239476,1.0,0.8763899999540867,0.940359808125346,0.8722036887220369,1.0,0.738026197380262,0.8465335284653354,0.9844015598440156,False,False,False,False,False
network,NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.2966711817585751,0.1763414880034969,-1.682367462798612,0.0948797293993134,0.159979020048333,-1.854438048620028,0.0659251038310376,0.0284905830900767,0.0075003413713394,0.0209902417187373,0.0216058036632325,0.2232676785394998,-0.0734035032190752,2.3334013414812813,W4,LIVING_ALONE,4,0.0343388639933498,931,0.0931906809319068,0.9994000599940006,0.6145333504819843,0.6303830961810267,0.5966299921731965,1.0,0.4871512848715128,0.4348898443488985,0.4161583841615838,False,False,False,False,False
network,NET07__DELTA_OC_MINUS_OA__BAI__W2,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,0.2842172900103829,0.1822459780496389,1.559525719316394,0.1212846234244735,0.1695692855557153,1.6761130359129672,0.0961011084907147,0.048058975125114,0.0303854235825312,0.0176735515425827,0.0185658051084683,-0.2658046993478621,0.0184125906625208,2.211200094209502,W2,BMI_OVERWEIGHT_OR_OBESE,1,0.0459919248789558,1217,0.1217878212178782,0.999900009999,0.6145333504819843,0.6331367147623557,0.5966299921731965,1.0,0.4871512848715128,0.4913508649135086,0.4956504349565043,False,False,False,False,False
network,NET08__DELTA_OC_MINUS_OA__MSPSS__W5,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,0.0725513330334313,0.1962236091996715,0.3697380418663339,0.7121747184315882,0.2089507351532691,0.3472174097890281,0.7289851861840705,0.0183197625098391,0.0172953213333018,0.0010244411765373,0.0010435589282682,0.0905651287375895,0.1631164617710208,2.293507960312154,W5,ATTACHMENT_INSECURE,1,0.0490054593140692,7076,0.7076292370762923,1.0,0.8862618718259764,0.940359808125346,0.8806052728060526,1.0,0.738026197380262,0.954104589541046,0.9991000899910008,False,False,False,False,False
network,NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,0.067739250182408,0.0825027354370843,0.8210545968389766,0.4131068299739381,0.0844638193299192,0.8019913226729143,0.4240104165562828,0.0352733409020015,0.0303088232628749,0.0049645176391265,0.0051460355037438,-0.2289427997252353,-0.0934642993604192,1.348458041385092,W4,LIVING_ALONE,31,0.0301372372361042,4006,0.4006599340065993,1.0,0.8369678914697404,0.9067801218265378,0.8405381684053816,1.0,0.907909209079092,0.8105189481051894,0.9455054494550544,False,False,False,False,False
network,NET02__OA__MSPSS__W4,OA,MSPSS,MSPSS_total,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,0.0041558971643612,0.0932441525770211,0.044570056668469,0.9645178779863354,0.1040495881028659,0.0399415052008912,0.9682005690338508,0.0458313734844966,0.0458169044280956,1.4469056401011926e-05,1.5164045430681358e-05,-0.2168346921217262,-0.2085228977930038,1.413718341201981,W4,LIVING_ALONE,2,0.0492521790867692,9626,0.9626037396260374,1.0,0.9645178779863354,0.9682005690338508,0.9626037396260374,1.0,0.9626037396260374,0.9626037396260374,1.0,False,False,False,False,False
network,NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,-0.0351298077035363,0.0846134980044004,-0.4151797116543909,0.6786895520803924,0.1254533853341879,-0.2800227957974678,0.7799017044489903,0.0544231305558667,0.0531789088019664,0.0012442217539003,0.0013158335341174,-0.1857164398112122,-0.255976055218285,1.5753109182897709,W3,SLEEP_NOT_RECOMMENDED,8,0.0076950147436451,6809,0.680931906809319,1.0,0.8838747655000458,0.940359808125346,0.8806052728060526,1.0,0.907909209079092,0.8491150884911509,0.9982001799820018,False,False,False,False,False
network,NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,0.0962043965872823,0.0841615053203704,1.1430926314954717,0.2550848582914486,0.1434963635527606,0.6704309029539275,0.5037633510801053,0.0325078126089674,0.0228575524493199,0.0096502601596474,0.0099745096502232,0.0272998523782458,0.2197086455528106,1.3986068053053602,W2,BMI_OVERWEIGHT_OR_OBESE,3,0.0094547706672181,2561,0.2561743825617438,1.0,0.7518290560169013,0.940359808125346,0.7531964752242725,1.0,0.907909209079092,0.5123487651234877,0.7917208279172083,False,False,False,False,False
network,NET05__DELTA_OC_MINUS_OA__MSPSS__W4,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,-0.0166542105457104,0.0833403207189008,-0.1998337707612563,0.8419204599879694,0.1062211235521181,-0.1567881226330551,0.8756532160056872,0.0321235206489556,0.0318284769071969,0.0002950437417587,0.000304836152188,0.2000842553874183,0.1667758342959975,1.746429559281344,W4,LIVING_ALONE,1,0.013432102562434,8401,0.8401159884011599,1.0,0.94026400503146,0.9499648702920656,0.9404905663279826,1.0,0.960132558172754,0.8733126687331267,1.0,False,False,False,False,False
network,NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,0.0407576084067056,0.0911415649933464,0.4471901311951476,0.6554762960120819,0.0818691753847972,0.497838267151695,0.6194327277536933,0.0093414035893124,0.0078291064231718,0.0015122971661406,0.0015265573544911,0.0514020773042021,0.1329172941176134,1.2914229245196474,W4,LIVING_ALONE,4,0.0343388639933498,6535,0.6535346465353464,1.0,0.8838747655000458,0.940359808125346,0.8806052728060526,1.0,0.907909209079092,0.8834283238342833,0.9974002599740026,False,False,False,False,False
network,NET07__DELTA_OC_MINUS_OA__BAI__W2,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,-0.0660868281373205,0.081426169597956,-0.811616565824305,0.4184839457348702,0.0725507051133102,-0.9109053872613038,0.3640183178833073,0.0356361444253199,0.0307869294848999,0.00484921494042,0.0050284080146598,-0.0933406937516903,-0.2255143500263314,1.3706577888378142,W2,BMI_OVERWEIGHT_OR_OBESE,1,0.0459919248789558,4294,0.4294570542945705,1.0,0.8369678914697404,0.8833870120196813,0.8589141085891411,1.0,0.907909209079092,0.6593340665933406,0.9487051294870512,False,False,False,False,False
network,NET08__DELTA_OC_MINUS_OA__MSPSS__W5,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,AGE_MIDPOINT,Edad por punto medio del intervalo,continuous,mayor edad,none,new_W,135,0,,,135,131,0.0626727943279009,0.0929987352873294,0.6739101788241177,0.5015557979236819,0.1179255178284038,0.5314608363144744,0.5959995010434446,0.0194587592416579,0.0160593879615161,0.0033993712801417,0.0034668315200212,0.0505153409732076,0.1758609296290096,1.2043335597933056,W5,ATTACHMENT_INSECURE,1,0.0490054593140692,5098,0.5098490150984901,1.0,0.8763899999540867,0.940359808125346,0.8722036887220369,1.0,0.907909209079092,0.8922357764223577,0.9809019098090191,False,False,False,False,False
network,NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,-0.0921816898404841,0.2335163981551093,-0.3947546749126117,0.6936659225966728,0.2382930275095735,-0.3868417418834494,0.6995010543787908,0.0327206956029315,0.0315700670047749,0.0011506285981566,0.0011895515524069,-0.1566519245703747,-0.2488336144108589,2.9067369472611424,W4,LIVING_ALONE,31,0.0301372372361042,6913,0.6913308669133087,1.0,0.8843829584630563,0.940359808125346,0.8806052728060526,1.0,0.6913308669133087,0.8798756487987566,0.999000099990001,False,False,False,False,False
network,NET02__OA__MSPSS__W4,OA,MSPSS,MSPSS_total,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,0.1400858105289682,0.2284250931442327,0.6132680459957827,0.5407624365637436,0.216615349906735,0.646703064160887,0.5189556161485743,0.0497887607930553,0.0470607282891881,0.0027280325038672,0.0028709747804541,-0.2355680105069629,-0.0954821999779946,2.9100783906290126,W4,LIVING_ALONE,2,0.0492521790867692,5364,0.5364463553644635,1.0,0.8763899999540867,0.940359808125346,0.8722036887220369,1.0,0.6786749896438928,0.7610148076101481,0.9835016498350164,False,False,False,False,False
network,NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,-0.3362086693511152,0.2374191258611646,-1.4160976632848008,0.1591202425355138,0.2499978220469298,-1.344846393453787,0.1809985989367262,0.0683558430606906,0.0540943438849643,0.0142614991757262,0.0153078823813793,-0.1782942698984537,-0.514502939249569,3.031162839538911,W3,SLEEP_NOT_RECOMMENDED,8,0.0076950147436451,1544,0.1544845515448455,1.0,0.6145333504819843,0.8446601283713893,0.5966299921731965,1.0,0.3805619438056194,0.4325567443255674,0.5716428357164284,False,False,False,False,False
network,NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,0.4781147644538545,0.3020972522407961,1.582651814630734,0.1159121725308627,0.4044808000998789,1.1820456356291646,0.2393287831928617,0.0411098533121465,0.0227753849929791,0.0183344683191674,0.019120509666824,0.1014733170416907,0.5795880814955452,3.601102399401321,W2,BMI_OVERWEIGHT_OR_OBESE,3,0.0094547706672181,1120,0.1120887911208879,0.9998000199980002,0.6145333504819843,0.8833870120196813,0.5966299921731965,1.0,0.3805619438056194,0.3923107689231077,0.4642535746425357,False,False,False,False,False
network,NET05__DELTA_OC_MINUS_OA__MSPSS__W4,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,0.2967279287547747,0.2262899136910596,1.3112733303698192,0.1920591651193606,0.2647579767712061,1.1207516101061452,0.2644439959787281,0.0461611245104232,0.0336415323958064,0.0125195921146167,0.0131254789842684,0.1264106543080018,0.4231385830627765,2.836702561923896,W4,LIVING_ALONE,1,0.013432102562434,1838,0.1838816118388161,1.0,0.6474017375134749,0.8833870120196813,0.640824806408248,1.0,0.3805619438056194,0.5148685131486851,0.6496350364963503,False,False,False,False,False
network,NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,0.151418136708844,0.2753895453881983,0.549832552631582,0.5833704265391212,0.665918109697108,0.227382518216416,0.8204807973344188,0.0115924557062254,0.0093114537749582,0.0022810019312672,0.0023077544727737,0.0675470755391388,0.2189652122479828,3.247527361982979,W4,LIVING_ALONE,4,0.0343388639933498,5938,0.5938406159384062,1.0,0.8763899999540867,0.9499648702920656,0.8722036887220369,1.0,0.6786749896438928,0.8834283238342833,0.9916008399160084,False,False,False,False,False
network,NET07__DELTA_OC_MINUS_OA__BAI__W2,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,-0.251897593609439,0.2698296237255376,-0.9335431378196688,0.3522571144571883,0.3633647813561937,-0.6932361267079228,0.4893886443625928,0.0379884957521289,0.0315885284992448,0.006399967252884,0.006652693054734,-0.1430157845020176,-0.3949133781114566,3.2603428745046688,W2,BMI_OVERWEIGHT_OR_OBESE,1,0.0459919248789558,3504,0.3504649535046495,1.0,0.8369678914697404,0.940359808125346,0.8405381684053816,1.0,0.5607439256074392,0.6593340665933406,0.8807119288071192,False,False,False,False,False
network,NET08__DELTA_OC_MINUS_OA__MSPSS__W5,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,HANDEDNESS_NONRIGHT,No diestro vs diestro,binary,1=izquierdo/ambidiestro,none,new_W,135,0,115.0,20.0,135,131,0.3650160764900642,0.2786611393516479,1.3098922847273773,0.1925246833037169,0.2978107726003791,1.2256644489481423,0.2225238914305417,0.0268666289790273,0.0141206781589895,0.0127459508200378,0.0130978457831173,0.0701549857355781,0.4351710622256423,3.382172801024116,W5,ATTACHMENT_INSECURE,1,0.0490054593140692,1902,0.1902809719028097,1.0,0.6474017375134749,0.8833870120196813,0.640824806408248,1.0,0.3805619438056194,0.5327867213278672,0.6505349465053495,False,False,False,False,False
