model_kind,target_id,representation,local_outcome,lemon_outcome,n,r_pearson,p_raw,p_permutation,q_BH_permutation,p_maxT
feature,TARGET__OC__MSPSS__EEG62,OC,MSPSS,MSPSS_total,135,0.1845692536846483,0.0321125899165829,0.0338966103389661,0.0915293086076007,0.405959404059594
feature,TARGET__OC__MSPSS__EEG61,OC,MSPSS,MSPSS_total,135,0.1328038176478634,0.1246605720434452,0.1273872612738726,0.181981801819818,0.842015798420158
feature,TARGET__OC__MSPSS__EEG5,OC,MSPSS,MSPSS_total,135,0.0179024530282982,0.8367206347929576,0.836016398360164,0.836016398360164,1.0
feature,TARGET__OC__MSPSS__EEG6,OC,MSPSS,MSPSS_total,135,0.1169310157196437,0.1768171803291866,0.1794820517948205,0.2361605944668691,0.9326067393260674
feature,TARGET__OC__MSPSS__EEG54,OC,MSPSS,MSPSS_total,135,0.185488516121431,0.0312504912474246,0.0327967203279672,0.0915293086076007,0.3986601339866013
feature,TARGET__OC__MSPSS__EEG58,OC,MSPSS,MSPSS_total,135,0.1651797559978156,0.0555509960993679,0.0583941605839416,0.1081373344147066,0.5731426857314269
feature,TARGET__OC__MSPSS__EEG57,OC,MSPSS,MSPSS_total,135,0.1104877387415342,0.202053214108581,0.2040795920407959,0.252657661063162,0.9574042595740426
feature,TARGET__OC__MSPSS__EEG13,OC,MSPSS,MSPSS_total,135,0.2231939021583429,0.0092661777414638,0.0100989901009899,0.0721356435784992,0.1620837916208379
feature,TARGET__OC__MSPSS__EEG10,OC,MSPSS,MSPSS_total,135,0.2096733943926443,0.014657797986896,0.0160983901609839,0.0724927507249275,0.2302769723027697
feature,TARGET__OC__MSPSS__EEG18,OC,MSPSS,MSPSS_total,135,0.1728027826904538,0.0450464660009902,0.045995400459954,0.0915293086076007,0.5044495550444955
feature,TARGET__OC__MSPSS__EEG22,OC,MSPSS,MSPSS_total,135,0.171379175938075,0.0468715466990654,0.0475952404759524,0.0915293086076007,0.5156484351564844
feature,TARGET__OC__MSPSS__EEG30,OC,MSPSS,MSPSS_total,135,0.1463504635814498,0.0903111222217646,0.0956904309569043,0.1594840515948405,0.7364263573642635
feature,TARGET__OC__MSPSS__EEG53,OC,MSPSS,MSPSS_total,135,0.1009773089202446,0.2438888659269768,0.2417758224177582,0.2878283600211407,0.9803019698030196
feature,TARGET__OC__MSPSS__EEG1,OC,MSPSS,MSPSS_total,135,0.0809242601869233,0.3507977890576663,0.3531646835316468,0.4106566087577288,0.998000199980002
feature,TARGET__OC__MSPSS__EEG46,OC,MSPSS,MSPSS_total,135,0.2265858806204989,0.0082254650610675,0.0088991100889911,0.0721356435784992,0.1486851314868513
feature,TARGET__OC__MSPSS__EEG9,OC,MSPSS,MSPSS_total,135,0.1803436817328734,0.0363390511989468,0.0397960203979602,0.0915293086076007,0.4412558744125587
feature,TARGET__OC__MSPSS__EEG38,OC,MSPSS,MSPSS_total,135,0.1975145746085983,0.021662085695322,0.0242975702429757,0.075929907009299,0.3110688931106889
feature,TARGET__OC__MSPSS__EEG14,OC,MSPSS,MSPSS_total,135,0.1994638370298853,0.0203751421497548,0.0231976802319768,0.075929907009299,0.2961703829617038
feature,TARGET__OC__MSPSS__EEG2,OC,MSPSS,MSPSS_total,135,0.1594251658618407,0.0647530257881301,0.0688931106889311,0.1230234119445198,0.6257374262573743
feature,TARGET__OC__MSPSS__EEG17,OC,MSPSS,MSPSS_total,135,0.1251132460115854,0.1482180241243711,0.1515848415158484,0.210534502105345,0.8902109789021098
feature,TARGET__OC__MSPSS__EEG21,OC,MSPSS,MSPSS_total,135,0.1198284381784972,0.1662582689728587,0.1682831716828317,0.2274096914632861,0.9195080491950804
feature,TARGET__OC__MSPSS__EEG50,OC,MSPSS,MSPSS_total,135,0.2058764771577759,0.0165956407023684,0.0176982301769823,0.0724927507249275,0.2540745925407459
feature,TARGET__OC__MSPSS__EEG42,OC,MSPSS,MSPSS_total,135,0.2094420035984249,0.0147699828627762,0.0160983901609839,0.0724927507249275,0.2316768323167683
feature,TARGET__OC__MSPSS__EEG26,OC,MSPSS,MSPSS_total,135,0.1374762137161668,0.1118268983662944,0.1144885511448855,0.169100736985125,0.8084191580841916
feature,TARGET__OC__MSPSS__EEG34,OC,MSPSS,MSPSS_total,135,0.1792157032654333,0.03754344800687,0.0398960103989601,0.0915293086076007,0.4505549445055494
feature,TARGET__OC__MSPSS__EEG45,OC,MSPSS,MSPSS_total,135,0.2021660854598675,0.0187004323517656,0.0200979902009799,0.0724927507249275,0.2777722227777222
feature,TARGET__OC__MSPSS__EEG33,OC,MSPSS,MSPSS_total,135,0.1394142818390563,0.1068161001853361,0.1118888111188881,0.169100736985125,0.7925207479252074
feature,TARGET__OC__MSPSS__EEG49,OC,MSPSS,MSPSS_total,135,0.136072592665516,0.1155689897451158,0.114988501149885,0.169100736985125,0.8175182481751825
feature,TARGET__OC__MSPSS__EEG25,OC,MSPSS,MSPSS_total,135,0.0608312529737171,0.4833827172576319,0.4788521147885211,0.5320579053205791,0.999900009999
feature,TARGET__OC__MSPSS__EEG37,OC,MSPSS,MSPSS_total,135,0.1777638228920257,0.0391429623364725,0.0431956804319568,0.0915293086076007,0.4631536846315368
feature,TARGET__OC__MSPSS__EEG29,OC,MSPSS,MSPSS_total,135,0.0698690216404474,0.4206809369675595,0.4214578542145785,0.4789293797892938,0.9996000399960004
feature,TARGET__OA__MSPSS__EEG62,OA,MSPSS,MSPSS_total,135,0.2450937645429046,0.0041689753518357,0.0044995500449955,0.044995500449955,0.0864913508649135
feature,TARGET__OA__MSPSS__EEG61,OA,MSPSS,MSPSS_total,135,0.1524273938050399,0.0775796241672714,0.0762923707629237,0.1315385702809029,0.6838316168383162
feature,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG43,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,135,-0.1379045181609524,0.1107040472780082,0.1111888811118888,0.169100736985125,0.805019498050195
feature,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG23,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,135,-0.178379324208445,0.0384580209583724,0.0395960403959604,0.0915293086076007,0.4571542845715428
feature,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG45,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,135,0.0429852641919923,0.6205801812582371,0.6215378462153784,0.6612104746972112,1.0
